Date,Contract,Units,Volume,LowPrice,HighPrice,AvgPrice,LastPrice
5/1/2000,Dem,224,112.043,0.49,0.55,0.5,0.55
5/1/2000,Reform,2,0.067,0.019,0.048,0.034,0.019
5/1/2000,Rep,116,57.95,0.488,0.501,0.5,0.5
5/2/2000,Dem,87,44.369,0.501,0.522,0.51,0.508
5/2/2000,Reform,50,0.196,0.003,0.005,0.004,0.003
5/2/2000,Rep,151,74.808,0.491,0.499,0.495,0.498
5/3/2000,Dem,44,22.389,0.508,0.51,0.509,0.51
5/3/2000,Reform,42,0.17,0.004,0.005,0.004,0.004
5/3/2000,Rep,25,12.29,0.491,0.492,0.492,0.491
5/4/2000,Dem,52,26.561,0.509,0.514,0.511,0.513
5/4/2000,Reform,166,0.673,0.004,0.005,0.004,0.005
5/4/2000,Rep,135,66.215,0.49,0.491,0.49,0.49
5/5/2000,Dem,50,25.823,0.513,0.531,0.516,0.524
5/5/2000,Reform,17,0.085,0.005,0.005,0.005,0.005
5/5/2000,Rep,19,9.073,0.477,0.482,0.478,0.482
5/6/2000,Dem,47,24.165,0.513,0.523,0.514,0.513
5/6/2000,Reform,78,0.49,0.006,0.008,0.006,0.006
5/6/2000,Rep,154,75.565,0.483,0.499,0.491,0.483
5/7/2000,Dem,0,0,0,0,,0.513
5/7/2000,Reform,40,0.27,0.006,0.007,0.007,0.006
5/7/2000,Rep,22,10.658,0.483,0.499,0.484,0.483
5/8/2000,Dem,15,7.686,0.51,0.519,0.512,0.51
5/8/2000,Reform,117,0.702,0.006,0.006,0.006,0.006
5/8/2000,Rep,107,51.418,0.478,0.487,0.481,0.487
5/9/2000,Dem,40,20.41,0.51,0.512,0.51,0.51
5/9/2000,Reform,31,0.186,0.006,0.006,0.006,0.006
5/9/2000,Rep,73,35.757,0.489,0.49,0.49,0.49
5/10/2000,Dem,414,206.902,0.49,0.502,0.5,0.5
5/10/2000,Reform,309,1.243,0.004,0.005,0.004,0.005
5/10/2000,Rep,530,265.436,0.498,0.505,0.501,0.5
5/11/2000,Dem,42,21.001,0.499,0.501,0.5,0.5
5/11/2000,Reform,33,0.133,0.004,0.005,0.004,0.004
5/11/2000,Rep,51,25.627,0.501,0.509,0.502,0.509
5/12/2000,Dem,50,24.724,0.488,0.499,0.494,0.495
5/12/2000,Reform,44,0.196,0.004,0.006,0.004,0.006
5/12/2000,Rep,17,8.543,0.502,0.51,0.503,0.502
5/13/2000,Dem,12,5.971,0.495,0.498,0.498,0.495
5/13/2000,Reform,0,0,0,0,,0.006
5/13/2000,Rep,10,5,0.5,0.5,0.5,0.5
5/14/2000,Dem,3,1.497,0.499,0.499,0.499,0.499
5/14/2000,Reform,0,0,0,0,,0.006
5/14/2000,Rep,0,0,0,0,,0.5
5/15/2000,Dem,27,13.407,0.494,0.499,0.497,0.494
5/15/2000,Reform,51,0.204,0.004,0.004,0.004,0.004
5/15/2000,Rep,27,13.515,0.5,0.501,0.501,0.501
5/16/2000,Dem,90,44.344,0.48,0.5,0.493,0.48
5/16/2000,Reform,0,0,0,0,,0.004
5/16/2000,Rep,61,31.196,0.503,0.518,0.511,0.51
5/17/2000,Dem,92,45.809,0.489,0.5,0.498,0.5
5/17/2000,Reform,0,0,0,0,,0.004
5/17/2000,Rep,62,31.682,0.51,0.517,0.511,0.51
5/18/2000,Dem,121,58.32,0.476,0.485,0.482,0.476
5/18/2000,Reform,66,0.264,0.004,0.004,0.004,0.004
5/18/2000,Rep,79,40.796,0.514,0.539,0.516,0.539
5/19/2000,Dem,129,62.297,0.473,0.494,0.483,0.475
5/19/2000,Reform,94,0.376,0.004,0.004,0.004,0.004
5/19/2000,Rep,201,111.076,0.524,0.59,0.553,0.59
5/20/2000,Dem,306,149.64,0.461,0.497,0.489,0.497
5/20/2000,Reform,4,0.016,0.004,0.004,0.004,0.004
5/20/2000,Rep,4,2.09,0.521,0.524,0.523,0.521
5/21/2000,Dem,100,47.895,0.47,0.48,0.479,0.48
5/21/2000,Reform,115,0.5,0.004,0.005,0.004,0.004
5/21/2000,Rep,161,85.955,0.52,0.556,0.534,0.52
5/22/2000,Dem,21,10.028,0.475,0.48,0.478,0.48
5/22/2000,Reform,158,0.474,0.003,0.003,0.003,0.003
5/22/2000,Rep,12,6.228,0.513,0.521,0.519,0.513
5/23/2000,Dem,251,120.36,0.476,0.48,0.48,0.476
5/23/2000,Reform,197,1.084,0.004,0.007,0.006,0.005
5/23/2000,Rep,72,37.44,0.52,0.52,0.52,0.52
5/24/2000,Dem,289,138.318,0.47,0.49,0.479,0.475
5/24/2000,Reform,24,0.072,0.003,0.003,0.003,0.003
5/24/2000,Rep,89,47.275,0.522,0.54,0.531,0.54
5/25/2000,Dem,11,5.156,0.467,0.475,0.469,0.475
5/25/2000,Reform,272,1.313,0.003,0.005,0.005,0.005
5/25/2000,Rep,306,159.454,0.52,0.539,0.521,0.52
5/26/2000,Dem,252,126.971,0.483,0.51,0.504,0.51
5/26/2000,Reform,52,0.309,0.004,0.006,0.006,0.004
5/26/2000,Rep,99,50.267,0.501,0.514,0.508,0.505
5/27/2000,Dem,89,46.086,0.514,0.52,0.518,0.52
5/27/2000,Reform,5,0.02,0.004,0.004,0.004,0.004
5/27/2000,Rep,189,96.221,0.505,0.515,0.509,0.515
5/28/2000,Dem,503,260.677,0.49,0.53,0.518,0.53
5/28/2000,Reform,0,0,0,0,,0.004
5/28/2000,Rep,1,0.489,0.489,0.489,0.489,0.489
5/29/2000,Dem,25,12.975,0.515,0.52,0.519,0.52
5/29/2000,Reform,278,0.874,0.003,0.005,0.003,0.005
5/29/2000,Rep,0,0,0,0,,0.489
5/30/2000,Dem,9,4.455,0.495,0.495,0.495,0.495
5/30/2000,Reform,53,0.318,0.006,0.006,0.006,0.006
